0.485,0,0.25,0,0,0,0,0,0,0,0,0,0
0.4832,0.0006,0.2487,-0.0438,0.0147,-0.006,-0.024,0.0418,0.0439,-0.0471,0.0146,-0.0177,0
0.4859,-0.0008,0.2515,-0.1438,0.0291,-0.012,-0.0478,0.1418,-0.0413,0.0407,-0.0274,0.0269,0
0.4844,-0.0005,0.2503,-0.1955,0.0429,-0.018,-0.0711,0.1912,-0.0086,-0.0024,-0.0198,0.0089,0
0.482,0.0,0.2482,-0.2115,0.0565,-0.024,-0.0941,0.2059,0.0453,-0.077,-0.0053,-0.0263,0
0.4794,0.0006,0.2459,-0.2189,0.0701,-0.03,-0.1171,0.2122,0.1032,-0.1589,0.0102,-0.0657,0
0.4777,0.013,0.2516,-0.2185,0.1701,-0.13,-0.0171,0.2153,0.4032,0.0851,0.3102,0.2343,0
0.4743,0.0166,0.25,-0.2018,0.2701,-0.23,0.0829,0.1983,0.5479,0.0439,0.3996,0.2484,0
0.4713,0.0186,0.248,-0.1958,0.3701,-0.33,0.1483,0.1915,0.6468,-0.0175,0.4504,0.2351,0
0.4685,0.02,0.2459,-0.1913,0.4418,-0.43,0.1822,0.186,0.7294,-0.0858,0.4877,0.2121,0
0.4658,0.0211,0.2438,-0.1867,0.4981,-0.522,0.2002,0.1803,0.8022,-0.1573,0.5172,0.1839,0
0.4632,0.022,0.2417,-0.1814,0.5455,-0.5954,0.2087,0.1739,0.8689,-0.2291,0.5423,0.1536,0
0.4607,0.0228,0.2396,-0.1753,0.5875,-0.6573,0.2112,0.1665,0.9314,-0.2995,0.565,0.123,0
0.4584,0.0235,0.2376,-0.168,0.6258,-0.7109,0.2093,0.1579,0.9901,-0.3672,0.5859,0.0931,0
0.4562,0.0242,0.2357,-0.159,0.6613,-0.7581,0.2039,0.1475,1.0447,-0.4309,0.6052,0.0647,0
0.4542,0.0248,0.234,-0.1476,0.6946,-0.8,0.1957,0.1345,1.0943,-0.4889,0.6228,0.0387,0
0.4525,0.0253,0.2325,-0.1324,0.7261,-0.8375,0.185,0.1175,1.1368,-0.5384,0.6382,0.0163,0
0.4513,0.0257,0.2314,-0.1109,0.756,-0.8711,0.1722,0.0937,1.168,-0.5742,0.6502,-0.0002,0
0.451,0.0259,0.231,-0.0778,0.7845,-0.9011,0.1574,0.0575,1.1787,-0.5857,0.6556,-0.0064,0
0.4525,0.0255,0.2321,-0.0196,0.8118,-0.9279,0.1408,-0.0056,1.1438,-0.5466,0.6455,0.0079,0
0.4594,0.0231,0.2373,0.0804,0.8381,-0.9512,0.1221,-0.1056,0.9699,-0.3684,0.5835,0.0743,0
0.4597,0.0167,0.2499,0.1804,0.8639,-0.9682,0.0982,-0.2056,0.6699,-0.0684,0.2835,0.363,0
0.4597,0.023,0.2371,0.0804,0.8864,-0.9972,0.0902,-0.1056,0.9699,-0.3684,0.5835,0.063,0
0.4527,0.0286,0.227,-0.0196,0.9097,-1.0139,0.0688,-0.0056,1.2699,-0.6684,0.7959,-0.0963,0
0.4436,0.0318,0.2199,-0.1093,0.9322,-1.028,0.0453,0.0898,1.5036,-0.9108,0.8822,-0.1913,0
0.4385,0.0332,0.2157,-0.144,0.9537,-1.041,0.0215,0.1262,1.6263,-1.0562,0.9225,-0.2544,0
0.4347,0.0341,0.2124,-0.1619,0.9743,-1.0526,-0.0027,0.1447,1.7163,-1.1693,0.9505,-0.3055,0
0.4314,0.0348,0.2096,-0.1727,0.9941,-1.0627,-0.0274,0.1555,1.7921,-1.2678,0.9733,-0.351,0
0.4284,0.0354,0.207,-0.1798,1.013,-1.0713,-0.0526,0.1623,1.8603,-1.3584,0.9933,-0.3934,0
0.4256,0.0359,0.2045,-0.1847,1.0311,-1.0785,-0.0783,0.1668,1.9236,-1.4441,1.0115,-0.4339,0
0.4229,0.0364,0.2021,-0.1883,1.0485,-1.0842,-0.1045,0.1698,1.9836,-1.5264,1.0284,-0.4732,0
0.4203,0.0368,0.1998,-0.1909,1.0651,-1.0885,-0.1312,0.1719,2.0411,-1.6063,1.0444,-0.5115,0
0.4178,0.0372,0.1976,-0.1929,1.0809,-1.0914,-0.1584,0.1733,2.0967,-1.6842,1.0596,-0.5491,0
0.4154,0.0376,0.1954,-0.1944,1.096,-1.093,-0.186,0.1742,2.1506,-1.7606,1.0742,-0.5861,0
0.413,0.038,0.1932,-0.1956,1.1103,-1.0933,-0.214,0.1747,2.2031,-1.8356,1.0882,-0.6226,0
0.4107,0.0383,0.1911,-0.1965,1.1239,-1.0924,-0.2424,0.1749,2.2544,-1.9094,1.1017,-0.6587,0
0.4084,0.0386,0.189,-0.1972,1.1367,-1.0903,-0.2711,0.1749,2.3046,-1.9822,1.1148,-0.6944,0
0.4061,0.0389,0.1869,-0.1977,1.1488,-1.087,-0.3001,0.1747,2.3537,-2.0541,1.1274,-0.7298,0
0.4039,0.0392,0.1849,-0.1981,1.1602,-1.0826,-0.3294,0.1743,2.4019,-2.1251,1.1396,-0.7648,0
0.4017,0.0395,0.1829,-0.1984,1.1709,-1.0771,-0.3589,0.1738,2.4492,-2.1953,1.1514,-0.7996,0
0.3995,0.0397,0.1809,-0.1986,1.1808,-1.0705,-0.3886,0.1732,2.4956,-2.2647,1.1629,-0.8341,0
0.3974,0.0399,0.1789,-0.1987,1.19,-1.0629,-0.4185,0.1725,2.5411,-2.3334,1.174,-0.8683,0
0.3953,0.0401,0.177,-0.1987,1.1985,-1.0543,-0.4486,0.1718,2.5858,-2.4014,1.1847,-0.9023,0
